question,answer,steps,n_hops,root,target,split
Carol is a yumpus. Every boompus is a bompus. Jack is a yumpus. Every bompus is a storpus. Every quimpus is a zumpus. Every rompus is a vumpus. Every quimpus is a chorpus. Every dumpus is a gwompus. Every dumpus is a sterpus. Carol is a yimpus. Carol is a shumpus. Every timpus is a hilpus. Jack is a quimpus. Every boompus is a yimpus. Every boompus is a timpus. Carol is a timpus. Every yimpus is a bompus. Every vumpus is a wumpus. Every dumpus is a rompus. Every timpus is a lorpus. Every lorpus is a lempus. Every quimpus is a rompus. Every boompus is a yumpus. Every yimpus is a shumpus. Every boompus is a shumpus. Every timpus is a shumpus. Every yimpus is a timpus. Every tumpus is a fompus. Every yimpus is a fompus. Every bompus is a shumpus. Jack is a zumpus. Carol is a boompus. Every quimpus is a dumpus. Every zumpus is a vumpus. Every zumpus is a tumpus. Every tumpus is a wumpus. Every quimpus is a vumpus. Every gwompus is a tumpus. Is Carol a wumpus or storpus?,Carol is a storpus.,"[""Carol is a yimpus."", ""Every yimpus is a bompus."", ""Every bompus is a storpus.""]",3,1,20,train
Every jelpus is a rompus. Every shumpus is a chorpus. Every jompus is a terpus. Every terpus is a zhorpus. Every yimpus is a rorpus. Every yumpus is a fompus. Tom is a storpus. Carol is a gerpus. Every gerpus is a yumpus. Every worpus is a terpus. Every lorpus is a dumpus. Every yumpus is a dumpus. Every storpus is a sterpus. Carol is a fompus. Every yimpus is a dumpus. Carol is a yimpus. Every rorpus is a jelpus. Tom is a sterpus. Every lorpus is a jompus. Every rorpus is a jompus. Every jompus is a worpus. Tom is a zumpus. Every chorpus is a felpus. Carol is a jompus. Every lorpus is a worpus. Every rorpus is a shumpus. Every rorpus is a felpus. Every lorpus is a rorpus. Every rorpus is a zhorpus. Every terpus is a jelpus. Every yumpus is a lorpus. Every worpus is a zhorpus. Every terpus is a scrompus. Is Carol a sterpus or rompus?,Carol is a rompus.,"[""Carol is a yimpus."", ""Every yimpus is a rorpus."", ""Every rorpus is a jelpus."", ""Every jelpus is a rompus.""]",4,1,20,train
Every lorpus is a numpus. Sam is a vumpus. Gabriel is a hilpus. Every jompus is a storpus. Every shumpus is a timpus. Every hilpus is a jelpus. Every hilpus is a wumpus. Every yimpus is a yerpus. Every vumpus is a shumpus. Every zumpus is a rempus. Every lorpus is a sterpus. Every lorpus is a jompus. Every shumpus is a zumpus. Every grimpus is a wumpus. Every grimpus is a hilpus. Every hilpus is a impus. Every vumpus is a bompus. Gabriel is a grimpus. Every yerpus is a rempus. Every rempus is a numpus. Every grimpus is a impus. Every rorpus is a lorpus. Every yerpus is a sterpus. Every timpus is a storpus. Every jelpus is a wumpus. Every lorpus is a timpus. Every jompus is a yimpus. Every wumpus is a quimpus. Every vumpus is a numpus. Sam is a rorpus. Every jompus is a sterpus. Is Sam a storpus or quimpus?,Sam is a storpus.,"[""Sam is a rorpus."", ""Every rorpus is a lorpus."", ""Every lorpus is a timpus."", ""Every timpus is a storpus.""]",4,1,20,train
Tom is a scrompus. Every grimpus is a scrompus. Every hilpus is a yimpus. Every shumpus is a gwompus. Every numpus is a yimpus. Every yerpus is a sterpus. Every yerpus is a zumpus. Every chorpus is a gorpus. Every hilpus is a yerpus. Every terpus is a jompus. Every chorpus is a grimpus. Sally is a numpus. Every jompus is a yerpus. Every rompus is a jompus. Rex is a grimpus. Every fompus is a zumpus. Every chorpus is a yumpus. Every numpus is a terpus. Every numpus is a gwompus. Sally is a jelpus. Every jompus is a yimpus. Rex is a shumpus. Every hilpus is a fompus. Every numpus is a jelpus. Every numpus is a yerpus. Every shumpus is a chorpus. Every chorpus is a gerpus. Every sterpus is a zumpus. Every jompus is a sterpus. Every hilpus is a dumpus. Sally is a lorpus. Every terpus is a lorpus. Every terpus is a yerpus. Every chorpus is a timpus. Every jompus is a hilpus. Sally is a gwompus. Every shumpus is a gerpus. Rex is a gwompus. Every jelpus is a rompus. Every shumpus is a grimpus. Every hilpus is a sterpus. Is Sally a gerpus or dumpus?,Sally is a dumpus.,"[""Sally is a numpus."", ""Every numpus is a terpus."", ""Every terpus is a jompus."", ""Every jompus is a hilpus."", ""Every hilpus is a dumpus.""]",5,1,22,train
Every yimpus is a wumpus. Every chorpus is a yimpus. Sam is a impus. Every chorpus is a gerpus. Sam is a gorpus. Gabriel is a gorpus. Every storpus is a rompus. Every numpus is a felpus. Every chorpus is a numpus. Every impus is a rompus. Sam is a chorpus. Every felpus is a jelpus. Every vumpus is a quimpus. Every vumpus is a jompus. Gabriel is a storpus. Every wumpus is a shumpus. Gabriel is a rempus. Every yimpus is a jelpus. Every yerpus is a jompus. Eva is a fompus. Every wumpus is a felpus. Every wumpus is a rompus. Every storpus is a vumpus. Every storpus is a yerpus. Every numpus is a yimpus. Every gerpus is a shumpus. Every chorpus is a rompus. Gabriel is a yerpus. Every yimpus is a kerpus. Every chorpus is a impus. Every jompus is a rempus. Every felpus is a gerpus. Every impus is a jelpus. Every storpus is a jompus. Every jompus is a dumpus. Gabriel is a vumpus. Every vumpus is a dumpus. Every vumpus is a yerpus. Is Sam a rempus or shumpus?,Sam is a shumpus.,"[""Sam is a chorpus."", ""Every chorpus is a gerpus."", ""Every gerpus is a shumpus.""]",3,1,22,train
Every chorpus is a wumpus. Tom is a yumpus. Every yerpus is a boompus. Every chorpus is a fompus. Oliver is a fompus. Stella is a jompus. Every worpus is a bompus. Every worpus is a terpus. Every felpus is a fompus. Every chorpus is a felpus. Every worpus is a jompus. Every numpus is a jelpus. Every chorpus is a zhorpus. Every zhorpus is a boompus. Every jompus is a terpus. Every yerpus is a chorpus. Every boompus is a jelpus. Every hilpus is a jelpus. Every worpus is a fompus. Every numpus is a hilpus. Every boompus is a vumpus. Every numpus is a boompus. Every jompus is a scrompus. Every worpus is a scrompus. Every zhorpus is a jelpus. Every jompus is a wumpus. Every wumpus is a vumpus. Every chorpus is a hilpus. Every yerpus is a felpus. Every bompus is a terpus. Every chorpus is a sterpus. Every jompus is a bompus. Every numpus is a vumpus. Every zhorpus is a numpus. Tom is a yerpus. Stella is a worpus. Every terpus is a scrompus. Is Tom a jelpus or scrompus?,Tom is a jelpus.,"[""Tom is a yerpus."", ""Every yerpus is a boompus."", ""Every boompus is a jelpus.""]",3,1,20,train
Sam is a shumpus. Every storpus is a chorpus. Every rorpus is a storpus. Every shumpus is a tumpus. Every hilpus is a tumpus. Every chorpus is a bompus. Every rorpus is a quimpus. Every vumpus is a gerpus. Every vumpus is a fompus. Every yumpus is a gerpus. Every shumpus is a storpus. Every gorpus is a dumpus. Every vumpus is a lempus. Every gerpus is a quimpus. Every sterpus is a boompus. Every vumpus is a felpus. Davis is a yumpus. Every boompus is a jelpus. Every lempus is a numpus. Davis is a vumpus. Every chorpus is a tumpus. Every yumpus is a yerpus. Every tumpus is a jelpus. Every shumpus is a gorpus. Every felpus is a sterpus. Every shumpus is a rorpus. Every chorpus is a kerpus. Every storpus is a bompus. Every fompus is a boompus. Every rorpus is a hilpus. Every rorpus is a chorpus. Sam is a rorpus. Every gerpus is a zhorpus. Every vumpus is a sterpus. Is Davis a numpus or dumpus?,Davis is a numpus.,"[""Davis is a vumpus."", ""Every vumpus is a lempus."", ""Every lempus is a numpus.""]",3,0,14,train
Every impus is a quimpus. Every zhorpus is a shumpus. Every zhorpus is a impus. Sally is a yimpus. Every hilpus is a grimpus. Every hilpus is a jompus. Every felpus is a grimpus. Every yimpus is a quimpus. Every tumpus is a scrompus. Every hilpus is a felpus. Wren is a dumpus. Every numpus is a felpus. Every grimpus is a scrompus. Every quimpus is a worpus. Sally is a zhorpus. Every numpus is a tumpus. Every felpus is a gwompus. Alex is a jompus. Every zhorpus is a worpus. Sally is a shumpus. Every yimpus is a worpus. Every shumpus is a yimpus. Alex is a tumpus. Every felpus is a scrompus. Alex is a hilpus. Every jompus is a numpus. Max is a gwompus. Is Alex a worpus or gwompus?,Alex is a gwompus.,"[""Alex is a hilpus."", ""Every hilpus is a felpus."", ""Every felpus is a gwompus.""]",3,1,16,train
Polly is a brimpus. Every jelpus is a shumpus. Every rorpus is a rompus. Every gorpus is a impus. Every timpus is a dumpus. Every hilpus is a jompus. Oliver is a lempus. Every hilpus is a impus. Every gorpus is a jelpus. Every fompus is a brimpus. Every gorpus is a vumpus. Every rorpus is a numpus. Oliver is a gorpus. Every zumpus is a felpus. Every gorpus is a zumpus. Every hilpus is a lempus. Polly is a worpus. Every fompus is a numpus. Every zumpus is a kerpus. Every bompus is a timpus. Every rorpus is a fompus. Every gorpus is a kerpus. Every worpus is a rorpus. Oliver is a jelpus. Every zumpus is a shumpus. Every fompus is a rompus. Every worpus is a fompus. Every brimpus is a rompus. Every rorpus is a shumpus. Every timpus is a felpus. Every bompus is a kerpus. Oliver is a jompus. Every gorpus is a hilpus. Every zumpus is a vumpus. Every hilpus is a bompus. Every impus is a timpus. Every hilpus is a jelpus. Every worpus is a brimpus. Every hilpus is a vumpus. Every jelpus is a impus. Every zumpus is a bompus. Is Oliver a numpus or dumpus?,Oliver is a dumpus.,"[""Oliver is a jelpus."", ""Every jelpus is a impus."", ""Every impus is a timpus."", ""Every timpus is a dumpus.""]",4,1,19,train
Every yerpus is a zumpus. Stella is a boompus. Every terpus is a zumpus. Every rompus is a yerpus. Every timpus is a wumpus. Every storpus is a gerpus. Every gerpus is a worpus. Every kerpus is a bompus. Fae is a rempus. Every rempus is a storpus. Every rompus is a rorpus. Every yimpus is a wumpus. Every rorpus is a yerpus. Every boompus is a lorpus. Every yimpus is a shumpus. Every kerpus is a yimpus. Every terpus is a numpus. Every storpus is a vumpus. Fae is a hilpus. Every gorpus is a yumpus. Every gorpus is a brimpus. Every bompus is a gwompus. Every storpus is a worpus. Every hilpus is a storpus. Every gorpus is a worpus. Every brimpus is a terpus. Every yimpus is a yumpus. Every storpus is a rompus. Every lorpus is a kerpus. Every wumpus is a gwompus. Every kerpus is a timpus. Every gorpus is a rompus. Every vumpus is a worpus. Every rempus is a gorpus. Every rorpus is a zhorpus. Every boompus is a kerpus. Is Fae a shumpus or zumpus?,Fae is a zumpus.,"[""Fae is a rempus."", ""Every rempus is a storpus."", ""Every storpus is a rompus."", ""Every rompus is a yerpus."", ""Every yerpus is a zumpus.""]",5,1,26,train
Every shumpus is a yimpus. Every lempus is a boompus. Every tumpus is a worpus. Eva is a tumpus. Every yerpus is a boompus. Every shumpus is a quimpus. Every felpus is a vumpus. Every zhorpus is a numpus. Every gorpus is a gwompus. Every gorpus is a shumpus. Every vumpus is a fompus. Davis is a lempus. Every tumpus is a fompus. Every gerpus is a boompus. Every lempus is a gorpus. Every vumpus is a worpus. Every terpus is a yerpus. Every yerpus is a quimpus. Every terpus is a quimpus. Every terpus is a shumpus. Eva is a felpus. Every lempus is a terpus. Every worpus is a bompus. Every terpus is a sterpus. Every lempus is a gerpus. Every numpus is a bompus. Every quimpus is a gwompus. Every yerpus is a gwompus. Every lempus is a yimpus. Every felpus is a sterpus. Every vumpus is a zhorpus. Is Davis a fompus or gwompus?,Davis is a gwompus.,"[""Davis is a lempus."", ""Every lempus is a gorpus."", ""Every gorpus is a gwompus.""]",3,1,20,train
Stella is a gwompus. Every brimpus is a rorpus. Every worpus is a wumpus. Every impus is a rompus. Every sterpus is a bompus. Every brimpus is a storpus. Every lempus is a tumpus. Every rompus is a brimpus. Every rompus is a tumpus. Every yimpus is a wumpus. Stella is a yimpus. Every quimpus is a impus. Every impus is a rorpus. Every sterpus is a scrompus. Max is a terpus. Every tumpus is a bompus. Every impus is a sterpus. Every quimpus is a rompus. Every gwompus is a lorpus. Every rorpus is a gorpus. Every quimpus is a sterpus. Every yimpus is a boompus. Stella is a boompus. Every sterpus is a rompus. Every scrompus is a gorpus. Every storpus is a gorpus. Every gwompus is a wumpus. Max is a quimpus. Max is a impus. Stella is a wumpus. Every terpus is a rompus. Every brimpus is a yumpus. Every impus is a yumpus. Stella is a worpus. Every terpus is a lempus. Every gwompus is a worpus. Every lorpus is a gorpus. Every brimpus is a lempus. Every lorpus is a yimpus. Every scrompus is a tumpus. Every impus is a terpus. Every worpus is a boompus. Every lorpus is a wumpus. Every terpus is a rorpus. Every worpus is a yimpus. Every worpus is a lorpus. Is Max a boompus or bompus?,Max is a bompus.,"[""Max is a impus."", ""Every impus is a sterpus."", ""Every sterpus is a bompus.""]",3,1,21,train
Every dumpus is a yimpus. Every rempus is a lempus. Every kerpus is a scrompus. Every dumpus is a kerpus. Every rempus is a bompus. Every lempus is a shumpus. Bob is a rempus. Carol is a jompus. Carol is a dumpus. Every tumpus is a dumpus. Every kerpus is a brimpus. Every quimpus is a yerpus. Every rempus is a quimpus. Every lempus is a yerpus. Carol is a tumpus. Every yimpus is a worpus. Every shumpus is a boompus. Oliver is a felpus. Every shumpus is a quimpus. Every rempus is a shumpus. Every kerpus is a bompus. Every rempus is a worpus. Carol is a terpus. Every terpus is a brimpus. Every yimpus is a felpus. Bob is a lempus. Every worpus is a felpus. Every brimpus is a scrompus. Is Bob a boompus or scrompus?,Bob is a boompus.,"[""Bob is a rempus."", ""Every rempus is a shumpus."", ""Every shumpus is a boompus.""]",3,0,19,train
Every shumpus is a yumpus. Every timpus is a lorpus. Every yimpus is a sterpus. Every sterpus is a kerpus. Every yimpus is a felpus. Every sterpus is a fompus. Every yimpus is a hilpus. Oliver is a chorpus. Every chorpus is a terpus. Every terpus is a felpus. Every sterpus is a yumpus. Every yimpus is a rempus. Every shumpus is a timpus. Rex is a lorpus. Oliver is a brimpus. Every yimpus is a fompus. Every fompus is a rempus. Every dumpus is a gwompus. Every chorpus is a rorpus. Every shumpus is a lorpus. Every terpus is a yimpus. Every dumpus is a hilpus. Alex is a gwompus. Every dumpus is a brimpus. Every hilpus is a sterpus. Oliver is a dumpus. Rex is a shumpus. Every gwompus is a felpus. Alex is a hilpus. Every brimpus is a kerpus. Every terpus is a rorpus. Every brimpus is a sterpus. Every chorpus is a gwompus. Rex is a timpus. Is Oliver a rempus or lorpus?,Oliver is a rempus.,"[""Oliver is a chorpus."", ""Every chorpus is a terpus."", ""Every terpus is a yimpus."", ""Every yimpus is a rempus.""]",4,1,18,train
Every tumpus is a felpus. Sam is a bompus. Every boompus is a gerpus. Every chorpus is a impus. Every jompus is a bompus. Every quimpus is a jompus. Every boompus is a shumpus. Every boompus is a numpus. Every shumpus is a bompus. Every tumpus is a yimpus. Every boompus is a bompus. Sam is a chorpus. Every boompus is a wumpus. Every tumpus is a brimpus. Every gerpus is a yimpus. Carol is a shumpus. Every worpus is a yumpus. Sam is a timpus. Every yimpus is a numpus. Carol is a timpus. Sam is a impus. Every zumpus is a wumpus. Every chorpus is a tumpus. Every zumpus is a yumpus. Every quimpus is a tumpus. Every brimpus is a zhorpus. Every rompus is a yumpus. Every gerpus is a shumpus. Every brimpus is a felpus. Every quimpus is a timpus. Every shumpus is a zumpus. Every wumpus is a worpus. Carol is a boompus. Every zumpus is a worpus. Every impus is a tumpus. Every chorpus is a jompus. Every jompus is a brimpus. Every boompus is a zumpus. Eva is a bompus. Every gerpus is a zumpus. Sam is a quimpus. Carol is a gerpus. Every shumpus is a yumpus. Every brimpus is a fompus. Every zumpus is a rompus. Every boompus is a lempus. Is Sam a lempus or zhorpus?,Sam is a zhorpus.,"[""Sam is a quimpus."", ""Every quimpus is a tumpus."", ""Every tumpus is a brimpus."", ""Every brimpus is a zhorpus.""]",4,0,15,train
Every zumpus is a dumpus. Every gerpus is a timpus. Carol is a impus. Every lorpus is a scrompus. Every boompus is a dumpus. Every yumpus is a boompus. Every boompus is a worpus. Every bompus is a gwompus. Every wumpus is a dumpus. Every lempus is a felpus. Every fompus is a gerpus. Every gwompus is a worpus. Every wumpus is a boompus. Every felpus is a numpus. Every fompus is a timpus. Every wumpus is a zumpus. Wren is a timpus. Every lempus is a scrompus. Every lorpus is a kerpus. Every fompus is a lorpus. Every dumpus is a worpus. Every scrompus is a rompus. Carol is a wumpus. Every impus is a dumpus. Every zumpus is a bompus. Carol is a yumpus. Every gerpus is a chorpus. Every fompus is a lempus. Wren is a gerpus. Every gerpus is a rempus. Every bompus is a rorpus. Every yumpus is a impus. Every gwompus is a yimpus. Every rempus is a yerpus. Every yerpus is a numpus. Every chorpus is a kerpus. Wren is a fompus. Every yumpus is a zumpus. Every wumpus is a yumpus. Is Carol a numpus or yimpus?,Carol is a yimpus.,"[""Carol is a wumpus."", ""Every wumpus is a zumpus."", ""Every zumpus is a bompus."", ""Every bompus is a gwompus."", ""Every gwompus is a yimpus.""]",5,1,19,train
Every fompus is a jompus. Alex is a zumpus. Every gerpus is a scrompus. Every gorpus is a rorpus. Every shumpus is a lorpus. Every fompus is a yumpus. Every jompus is a yumpus. Every worpus is a timpus. Sally is a worpus. Every lempus is a dumpus. Every timpus is a lorpus. Every zumpus is a gerpus. Fae is a timpus. Every lempus is a brimpus. Every felpus is a grimpus. Every boompus is a worpus. Every dumpus is a brimpus. Every zumpus is a jompus. Every timpus is a gorpus. Every timpus is a dumpus. Every zumpus is a shumpus. Every worpus is a gorpus. Every fompus is a shumpus. Every boompus is a timpus. Every brimpus is a yimpus. Every dumpus is a yimpus. Every lempus is a impus. Fae is a boompus. Every gerpus is a fompus. Alex is a fompus. Every dumpus is a lorpus. Every fompus is a felpus. Every worpus is a rorpus. Every jompus is a felpus. Every zumpus is a fompus. Every jompus is a lorpus. Every worpus is a lempus. Every gerpus is a felpus. Every jompus is a shumpus. Is Fae a grimpus or impus?,Fae is a impus.,"[""Fae is a boompus."", ""Every boompus is a worpus."", ""Every worpus is a lempus."", ""Every lempus is a impus.""]",4,0,21,train
Every grimpus is a gerpus. Oliver is a numpus. Every rompus is a shumpus. Every rorpus is a lorpus. Oliver is a yumpus. Every scrompus is a quimpus. Every zhorpus is a fompus. Max is a hilpus. Every rompus is a yimpus. Every rorpus is a jompus. Every scrompus is a grimpus. Every rompus is a jompus. Every yimpus is a timpus. Every zhorpus is a shumpus. Every wumpus is a quimpus. Max is a rorpus. Max is a lempus. Every lorpus is a gwompus. Every grimpus is a quimpus. Every zhorpus is a scrompus. Oliver is a quimpus. Every grimpus is a yimpus. Oliver is a zhorpus. Every rorpus is a fompus. Oliver is a scrompus. Every rompus is a quimpus. Every storpus is a lorpus. Every shumpus is a wumpus. Every rorpus is a tumpus. Every rorpus is a storpus. Every zhorpus is a numpus. Every lempus is a fompus. Every zumpus is a quimpus. Oliver is a rompus. Every tumpus is a hilpus. Every rorpus is a lempus. Max is a storpus. Every grimpus is a zumpus. Every shumpus is a numpus. Every tumpus is a lorpus. Every hilpus is a lorpus. Every gerpus is a quimpus. Every rompus is a zhorpus. Is Max a numpus or gwompus?,Max is a gwompus.,"[""Max is a rorpus."", ""Every rorpus is a lorpus."", ""Every lorpus is a gwompus.""]",3,0,17,train
Oliver is a impus. Every storpus is a gerpus. Every yimpus is a chorpus. Every lorpus is a brimpus. Every rompus is a impus. Every zumpus is a chorpus. Every sterpus is a brimpus. Carol is a lorpus. Every gerpus is a yimpus. Every zumpus is a gorpus. Every vumpus is a rorpus. Carol is a zumpus. Every zumpus is a storpus. Every impus is a bompus. Gabriel is a storpus. Every sterpus is a wumpus. Every yimpus is a sterpus. Every vumpus is a jompus. Oliver is a rompus. Every yimpus is a jompus. Every gwompus is a bompus. Every sterpus is a rorpus. Every zumpus is a rorpus. Every rompus is a numpus. Every gerpus is a vumpus. Oliver is a numpus. Every bompus is a numpus. Every storpus is a sterpus. Oliver is a gwompus. Is Carol a numpus or jompus?,Carol is a jompus.,"[""Carol is a zumpus."", ""Every zumpus is a storpus."", ""Every storpus is a gerpus."", ""Every gerpus is a yimpus."", ""Every yimpus is a jompus.""]",5,0,20,train
Stella is a lempus. Every boompus is a vumpus. Stella is a hilpus. Every jelpus is a yerpus. Every boompus is a yerpus. Every sterpus is a gwompus. Every worpus is a timpus. Every lempus is a rompus. Every jelpus is a boompus. Every gerpus is a rompus. Every shumpus is a scrompus. Tom is a boompus. Tom is a gorpus. Stella is a bompus. Every hilpus is a terpus. Every timpus is a scrompus. Every gorpus is a gwompus. Every shumpus is a gorpus. Every scrompus is a yumpus. Every sterpus is a gerpus. Every bompus is a felpus. Every zumpus is a gerpus. Every kerpus is a yumpus. Every sterpus is a lempus. Every shumpus is a kerpus. Every vumpus is a worpus. Every hilpus is a lempus. Every sterpus is a impus. Every bompus is a lempus. Every gorpus is a boompus. Every yerpus is a kerpus. Every shumpus is a jelpus. Every bompus is a sterpus. Tom is a shumpus. Every gorpus is a jelpus. Every shumpus is a gwompus. Every shumpus is a felpus. Every hilpus is a gerpus. Every lempus is a zumpus. Every shumpus is a boompus. Tom is a jelpus. Every yerpus is a terpus. Every sterpus is a zumpus. Every bompus is a terpus. Is Tom a yumpus or impus?,Tom is a yumpus.,"[""Tom is a shumpus."", ""Every shumpus is a scrompus."", ""Every scrompus is a yumpus.""]",3,1,23,train
Every worpus is a rorpus. Every jelpus is a bompus. Every rompus is a gwompus. Every rompus is a quimpus. Every chorpus is a impus. Sam is a fompus. Bob is a brimpus. Bob is a lempus. Every dumpus is a brimpus. Every worpus is a bompus. Every chorpus is a shumpus. Every worpus is a timpus. Every sterpus is a dumpus. Every lempus is a tumpus. Every quimpus is a yimpus. Every worpus is a sterpus. Every lempus is a timpus. Every dumpus is a zhorpus. Every jelpus is a timpus. Sam is a zumpus. Every gwompus is a quimpus. Bob is a fompus. Bob is a worpus. Every lempus is a dumpus. Every zumpus is a fompus. Every hilpus is a quimpus. Every zumpus is a rompus. Every hilpus is a yimpus. Sam is a rompus. Every sterpus is a bompus. Every hilpus is a gwompus. Every rompus is a hilpus. Every quimpus is a brimpus. Every hilpus is a chorpus. Every hilpus is a impus. Every worpus is a jelpus. Bob is a jelpus. Every rompus is a fompus. Every timpus is a dumpus. Every bompus is a zhorpus. Is Sam a shumpus or rorpus?,Sam is a shumpus.,"[""Sam is a rompus."", ""Every rompus is a hilpus."", ""Every hilpus is a chorpus."", ""Every chorpus is a shumpus.""]",4,0,20,train
Every worpus is a jelpus. Every rompus is a hilpus. Every yerpus is a chorpus. Every quimpus is a vumpus. Every yerpus is a quimpus. Every hilpus is a kerpus. Every rompus is a dumpus. Every gwompus is a boompus. Every worpus is a rompus. Every zhorpus is a dumpus. Max is a jelpus. Every lorpus is a yimpus. Sam is a quimpus. Polly is a shumpus. Every dumpus is a gerpus. Every rompus is a yerpus. Carol is a boompus. Every worpus is a yerpus. Every quimpus is a hilpus. Every gerpus is a vumpus. Bob is a quimpus. Every dumpus is a impus. Every jelpus is a zhorpus. Every worpus is a shumpus. Every jelpus is a chorpus. Every rompus is a yumpus. Every jelpus is a shumpus. Every chorpus is a hilpus. Max is a worpus. Every vumpus is a timpus. Every gwompus is a shumpus. Every chorpus is a timpus. Every zhorpus is a hilpus. Every zhorpus is a rompus. Carol is a gwompus. Every quimpus is a lorpus. Every dumpus is a quimpus. Every vumpus is a lorpus. Is Max a yimpus or boompus?,Max is a yimpus.,"[""Max is a worpus."", ""Every worpus is a yerpus."", ""Every yerpus is a quimpus."", ""Every quimpus is a lorpus."", ""Every lorpus is a yimpus.""]",5,1,24,train
Every boompus is a wumpus. Max is a terpus. Every grimpus is a gorpus. Every chorpus is a hilpus. Every yerpus is a lempus. Every tumpus is a vumpus. Every grimpus is a brimpus. Every lorpus is a lempus. Every yerpus is a lorpus. Every fompus is a storpus. Max is a brimpus. Every grimpus is a fompus. Every storpus is a vumpus. Alex is a vumpus. Every grimpus is a rempus. Every fompus is a jompus. Every grimpus is a lempus. Every jompus is a tumpus. Every jompus is a storpus. Every boompus is a yumpus. Max is a zhorpus. Every grimpus is a tumpus. Every yerpus is a grimpus. Every fompus is a brimpus. Bob is a yerpus. Every boompus is a chorpus. Every boompus is a terpus. Every zhorpus is a chorpus. Every chorpus is a wumpus. Every gorpus is a tumpus. Max is a boompus. Is Bob a hilpus or vumpus?,Bob is a vumpus.,"[""Bob is a yerpus."", ""Every yerpus is a grimpus."", ""Every grimpus is a tumpus."", ""Every tumpus is a vumpus.""]",4,0,19,train
Every rempus is a zhorpus. Stella is a rempus. Every boompus is a vumpus. Every grimpus is a zhorpus. Every gorpus is a fompus. Eva is a tumpus. Every gerpus is a sterpus. Stella is a grimpus. Every bompus is a brimpus. Stella is a terpus. Every gorpus is a terpus. Every grimpus is a impus. Polly is a tumpus. Every rompus is a scrompus. Every impus is a zhorpus. Stella is a tumpus. Every bompus is a terpus. Every impus is a wumpus. Every fompus is a gwompus. Every vumpus is a jompus. Every grimpus is a rempus. Every rempus is a impus. Every bompus is a rompus. Every gorpus is a tumpus. Every bompus is a fompus. Every rompus is a storpus. Every storpus is a scrompus. Every bompus is a gerpus. Eva is a storpus. Every gerpus is a wumpus. Every gorpus is a bompus. Every fompus is a boompus. Every storpus is a gwompus. Polly is a gorpus. Polly is a bompus. Every gorpus is a wumpus. Stella is a impus. Is Polly a jompus or zhorpus?,Polly is a jompus.,"[""Polly is a gorpus."", ""Every gorpus is a fompus."", ""Every fompus is a boompus."", ""Every boompus is a vumpus."", ""Every vumpus is a jompus.""]",5,1,20,train
Polly is a yumpus. Every shumpus is a boompus. Every grimpus is a lempus. Fae is a shumpus. Every felpus is a gorpus. Every sterpus is a scrompus. Every quimpus is a rompus. Every terpus is a numpus. Every numpus is a yimpus. Fae is a sterpus. Every sterpus is a rompus. Fae is a quimpus. Every gorpus is a kerpus. Tom is a jelpus. Polly is a felpus. Every grimpus is a sterpus. Every numpus is a boompus. Every yimpus is a scrompus. Every quimpus is a numpus. Every lempus is a fompus. Fae is a terpus. Every shumpus is a numpus. Every shumpus is a rompus. Every boompus is a fompus. Every yimpus is a grimpus. Fae is a storpus. Is Fae a fompus or yumpus?,Fae is a fompus.,"[""Fae is a shumpus."", ""Every shumpus is a boompus."", ""Every boompus is a fompus.""]",3,1,18,train
Every fompus is a boompus. Every vumpus is a quimpus. Every dumpus is a storpus. Every yerpus is a fompus. Every jompus is a rompus. Every jompus is a worpus. Every quimpus is a brimpus. Every yumpus is a dumpus. Every zumpus is a lempus. Every vumpus is a gwompus. Every kerpus is a tumpus. Gabriel is a felpus. Every jompus is a quimpus. Max is a fompus. Every boompus is a lorpus. Every vumpus is a yerpus. Every sterpus is a rompus. Every fompus is a sterpus. Every zhorpus is a jompus. Bob is a zumpus. Bob is a lempus. Every fompus is a brimpus. Every gerpus is a gwompus. Gabriel is a vumpus. Every lempus is a kerpus. Every vumpus is a gerpus. Bob is a storpus. Every zhorpus is a yerpus. Every zumpus is a tumpus. Gabriel is a yerpus. Every quimpus is a lorpus. Every yerpus is a worpus. Bob is a felpus. Gabriel is a gerpus. Every lempus is a yumpus. Bob is a yumpus. Every sterpus is a brimpus. Every worpus is a scrompus. Every yumpus is a tumpus. Every vumpus is a zhorpus. Every felpus is a rempus. Every zhorpus is a quimpus. Every jompus is a timpus. Is Gabriel a storpus or rompus?,Gabriel is a rompus.,"[""Gabriel is a vumpus."", ""Every vumpus is a zhorpus."", ""Every zhorpus is a jompus."", ""Every jompus is a rompus.""]",4,1,17,train
